ID_PERSON;ID_ROLE;TYPE
1;1;Person
2;2;Person
3;2;Person
4;2;Person
5;3;Person
6;3;Person
7;3;Person
8;3;Person
9;3;Person
10;3;Person
11;3;Person
12;3;Person
13;3;Person
14;3;Person
15;3;Person
16;3;Person
17;3;Person
18;3;Person
19;3;Person
20;3;Person
21;3;Person
22;3;Person
23;3;Person
24;3;Person
25;3;Person
26;3;Person
27;3;Person
28;3;Person
29;3;Person
30;3;Person
31;3;Person
32;3;Person
33;4;Person
34;4;Person
35;4;Person
36;4;Person
37;4;Person
38;4;Person
39;4;Person
40;4;Person
41;4;Person
42;5;Person
43;5;Person
44;5;Person
45;5;Person
46;5;Person
47;5;Person
48;5;Person
49;5;Person
50;5;Person
51;5;Person
52;5;Person
53;5;Person
54;5;Person
55;5;Person
56;5;Person
57;5;Person
58;5;Person
59;6;Person
60;6;Person
61;6;Person
62;6;Person
63;6;Person
64;6;Person
65;6;Person
66;6;Person
67;6;Person
68;6;Person
69;6;Person
70;6;Person
71;7;Person
72;8;Person
73;8;Person
74;8;Person
75;9;Person
76;9;Person
77;10;Person
78;10;Person
79;11;Person
80;11;Person
81;11;Person
82;11;Person
83;11;Person
84;12;Person
85;12;Person
86;12;Person
87;12;Person
88;12;Person
89;12;Person
90;12;Person
91;12;Person
92;12;Person
93;13;Person
94;13;Person
95;13;Person
96;13;Person
97;14;Person
98;14;Person
99;14;Person
100;14;Person
101;15;Person
102;16;Person
103;16;Person
104;16;Person
105;16;Person
106;17;Person
107;18;Person
