ID;NAME;EFFECTIF;TYPE
1;Application Consultant;1;Role
2;Business App Cons;3;Role
3;Data Developer;28;Role
4;Data Engineer;9;Role
5;Data Architect;17;Role
6;Systems Engineer;12;Role
7;Domain Architect;1;Role
8;BI Consultant;3;Role
9;Data Scientist;2;Role
10;Business Analyst;2;Role
11;Industry Consultant;5;Role
12;Solution Architect;9;Role
13;Ecosystem Architect;4;Role
14;Project Manager;4;Role
15;Program Manager;1;Role
16;Consulting Director;4;Role
17;Resource Manager;1;Role
18;Manager/Director;1;Role
